Item, Cost, Link
Raspberry Pi Pico, 4.94, https://botland.com.pl/moduly-i-zestawy-do-raspberry-pi-pico/18767-raspberry-pi-pico-rp2040-arm-cortex-m0-0617588405587.html
Micro SD card ?port?, 9.37 zł !!!!!!!!!!!!!!!!!, https://pl.farnell.com/molex/104031-0811/connector-micro-sd-8pos/dp/2678573?srsltid=AfmBOop4cjIzaVu8hfIHMP871mYQuhebv0rEr_-Nvpk_wUB1qu24MNZC
USB_A, 3.16 zł !!!!!!!!!!!, https://www.digikey.pl/pl/products/detail/cnc-tech/1001-011-01101/3064739?srsltid=AfmBOorIKRMa4xjH2wBGTeFGlcepA0Hn9P8wviLBaRUREZm50Ef58_zC
TP4057 battery charger, 3 zł, https://allegro.pl/produkt/tp4057-battery-charger-1af03e5b-a3f5-4e60-a73b-e6587dc6ee7f?offerId=17890124524
Keyboard CardKB V1.1 ATmega8A, 38.9 zł!!!!!!!!!!!!!!!!!!!!!,https://botland.com.pl/moduly-unit-moduly-rozszerzen/21897-mini-klawiatura-keyboard-cardkb-v11-atmega8a-modul-rozszerzen-unit-do-modulow-deweloperskich-m5stack-u035-b-6972934173782.html
PIN HEADER 1x40, 6.00 zł, https://allegro.pl/produkt/zlacze-szpilkowe-pin-header-1x40-h-30mm-rm-2-54mm-7a350a7e-0498-4583-8c29-9f037f3ad1fc?offerId=7931790327
Dissplay LCD 3.2'' 320x240px - 262K - Waveshare 16498, 73.90 zł !!!!!!!!!!, https://botland.com.pl/wyswietlacze-ips/22735-wyswietlacz-dotykowy-rezystancyjny-lcd-32-320x240px-262k-waveshare-16498.html
LiPo 1000mAh 3.7V battery, 22.90 zł !!!!!!!!!!!!!!!!!!, https://botland.com.pl/akumulatory-li-pol-1s-37v/15613-akumulator-li-pol-akyga-1000mah-1s-37v-zlacze-jst-bec-gniazdo-48x30x7mm-5904422324230.html
Male to male wire for the battery, 4.30 zł !!!!!!!!, http://abc-rc.pl/pl/products/przewody-kable-zworki-dupont-m-m-40-szt-10cm-mesko-meskie-18982.html
Female to Female wire for keyboard and screen, 4.95 zł !!!!!!!!, https://botland.com.pl/przewody-polaczeniowe-zensko-zenskie/19948-przewody-polaczeniowe-zensko-zenskie-justpi-10cm-40szt-5904422328672.html
